Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Keluaran_Game
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.54,76.0,51.0,8.0,324.0,E,Game Lawas
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.8,3.79,3.29,35.57,82.0,73.0,8.3,712.0,E,Game Baru
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.95,3.28,2.95,32.78,80.0,73.0,8.0,193.0,E,Game Baru
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.15,6.5,2.88,29.81,89.0,65.0,8.5,433.0,E,Game Lawas
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,E,Game Lawas
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.48,6.95,4.7,2.25,28.38,87.0,80.0,8.4,595.0,E,Game Baru
Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.48,4.13,1.9,23.22,91.0,64.0,8.6,465.0,E,Game Lawas
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,E,Game Baru
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15.02,4.91,0.24,1.69,21.86,61.0,45.0,6.3,106.0,E,Game Baru
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,E,Game Baru
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.14,0.98,3.97,21.12,97.0,50.0,8.2,4009.0,M,Game Baru
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1606.0,M,Game Lawas
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,E,Game Lawas
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.17,0.06,1.41,16.3,97.0,58.0,8.1,3722.0,M,Game Baru
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,736.0,M,Game Lawas
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,E,Game Lawas
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,E,Game Lawas
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.06,4.26,0.13,1.33,14.77,88.0,81.0,3.4,8715.0,M,Game Baru
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.73,3.7,0.11,1.13,14.67,87.0,89.0,6.3,1456.0,M,Game Baru
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,921.0,M,Game Baru
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.26,0.07,1.12,13.69,83.0,73.0,4.8,2261.0,M,Game Baru
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.6,0.08,1.28,13.48,94.0,100.0,6.3,2702.0,M,Game Baru
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,4.12,6.77,0.39,2.08,13.36,97.0,66.0,8.3,2955.0,M,Game Baru
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5237.0,M,Game Baru
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,667.0,M,Game Lawas
Mario Kart 7,3DS,2011,Racing,Nintendo,5.2,4.19,2.7,0.94,13.04,85.0,73.0,8.2,633.0,E,Game Baru
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.64,2.56,2.66,1.01,12.87,93.0,81.0,8.9,1667.0,T,Game Baru
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,6.0,4.37,0.48,1.8,12.64,88.0,58.0,6.4,1095.0,M,Game Baru
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.6,243.0,E,Game Lawas
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4109.0,M,Game Baru
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,273.0,E,Game Lawas
Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.36,1.2,0.74,11.36,97.0,73.0,8.9,2159.0,E,Game Baru
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.77,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2958.0,M,Game Baru
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.8,140.0,E,Game Lawas
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.05,2.14,0.78,10.87,90.0,82.0,8.4,925.0,E,Game Baru
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1115.0,E,Game Baru
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2077.0,M,Game Baru
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.77,3.7,0.44,1.61,10.51,98.0,64.0,7.5,2849.0,M,Game Baru
Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.75,2.58,0.04,0.91,10.28,73.0,29.0,2.6,2118.0,M,Game Baru
Just Dance 3,Wii,2011,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,E10+,Game Baru
